id,district_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
01,01,377965,196001,251890,181964,69926,126075,100.0,51.85691796859497,66.6437368539415,48.14308203140503,18.50065482253648,33.356263146058495
02,02,283974,119754,209525,164220,45305,74449,100.0,42.17076211202434,73.78316324733954,57.82923788797566,15.953925359363886,26.216836752660456
03,03,402289,79834,350578,322455,28123,51711,100.0,19.8449373460373,87.14580811307295,80.15506265396269,6.990745459110241,12.85419188692706
04,04,338831,137016,256101,201815,54286,82730,100.0,40.43785840138594,75.5836980677683,59.56214159861406,16.021556469154238,24.4163019322317
05,05,242143,85191,196237,156952,39285,45906,100.0,35.18210313740228,81.04178109629434,64.81789686259772,16.223884233696616,18.958218903705664
06,06,307076,80892,263934,226184,37750,43142,100.0,26.342664356706486,85.95070927066915,73.65733564329352,12.293373627375633,14.049290729330849
07,07,348739,125580,280342,223159,57183,68397,100.0,36.009737941555144,80.38733838199914,63.990262058444856,16.39707632355429,19.612661618000853
08,08,329387,148089,246942,181298,65644,82445,100.0,44.95896923679441,74.97017186470626,55.04103076320559,19.929141101500665,25.02982813529374
09,09,264999,35968,242587,229031,13556,22412,100.0,13.572881407099649,91.54260959475319,86.42711859290036,5.1154910018528374,8.457390405246812
10,10,266684,47891,240427,218793,21634,26257,100.0,17.95795773274737,90.15426497277676,82.04204226725263,8.112222705524141,9.845735027223231
11,11,286246,66853,243375,219393,23982,42871,100.0,23.355086184610443,85.02302215576812,76.64491381538956,8.378108340378555,14.976977844231884
12,12,263597,83983,218710,179614,39096,44887,100.0,31.860377773646892,82.97135399871775,68.1396222263531,14.83173177236463,17.02864600128226
