id,district_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
01,01,385748,207749,252933,177999,74934,132815,100.0,53.85614442589463,65.56949096301213,46.14385557410537,19.42563538890675,34.43050903698788
02,02,290386,129888,209557,160498,49059,80829,100.0,44.729429104708906,72.16498040539145,55.270570895291094,16.89440951010035,27.835019594608557
03,03,409335,92845,350230,316490,33740,59105,100.0,22.68191090427156,85.56072654427302,77.31808909572844,8.24263744854459,14.439273455726973
04,04,343592,147081,255252,196511,58741,88340,100.0,42.80687559663787,74.28927332417518,57.19312440336213,17.096148920813057,25.710726675824812
05,05,245197,92585,194733,152612,42121,50464,100.0,37.759434250826885,79.41899778545415,62.240565749173115,17.17843203628103,20.581002214545855
06,06,310071,88984,262629,221087,41542,47442,100.0,28.697943374259445,84.69963330979033,71.30205662574055,13.397576684049783,15.300366690209662
07,07,350984,133166,278687,217818,60869,72297,100.0,37.94076083240262,79.40162514530577,62.05923916759738,17.342385977708386,20.59837485469423
08,08,329917,154919,244617,174998,69619,85300,100.0,46.95696190253912,74.14501223034885,53.04303809746088,21.101974132887968,25.854987769651157
09,09,273689,45751,245757,227938,17819,27932,100.0,16.71641900112902,89.79425552360526,83.28358099887097,6.510674524734279,10.20574447639474
10,10,269967,55217,239406,214750,24656,30561,100.0,20.453240581256228,88.67972752225272,79.54675941874378,9.132968103508947,11.32027247774728
11,11,294201,79972,242241,214229,28012,51960,100.0,27.182776401167906,82.33860523927518,72.81722359883209,9.521381640443098,17.66139476072481
12,12,266408,92163,216108,174245,41863,50300,100.0,34.59468184138614,81.11918561004174,65.40531815861385,15.713867451427884,18.88081438995826
