id,district_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
01,01,380917,204350,252241,176567,75674,128676,100.0,53.64685745188584,66.21941262794782,46.35314254811416,19.866270079833665,33.78058737205218
02,02,290083,130441,209245,159642,49603,80838,100.0,44.96678536832562,72.13280337006994,55.03321463167439,17.099588738395564,27.867196629930053
03,03,409454,94380,349519,315074,34445,59935,100.0,23.050208326210026,85.36221407044503,76.94979167378997,8.412422396655057,14.637785929554969
04,04,342950,147782,254221,195168,59053,88729,100.0,43.091412742382275,74.12771541040968,56.908587257617725,17.219128152791953,25.872284589590322
05,05,244458,93201,193513,151257,42256,50945,100.0,38.12556758216135,79.1600193080202,61.87443241783864,17.285586890181545,20.83998069197981
06,06,308582,88881,261580,219701,41879,47002,100.0,28.803041006928463,84.76839219397114,71.19695899307153,13.5714332008996,15.231607806028869
07,07,351062,133969,278709,217093,61616,72353,100.0,38.161065566765984,79.39025015524324,61.838934433234016,17.551315722009218,20.609749844756767
08,08,328666,155281,243425,173385,70040,85241,100.0,47.24583619845071,74.06455185507475,52.75416380154929,21.310388053525465,25.935448144925243
09,09,273817,46890,245151,226927,18224,28666,100.0,17.124575902884043,89.53096411106688,82.87542409711595,6.655540013950924,10.469035888933119
10,10,271311,57156,239134,214155,24979,32177,100.0,21.06659884781671,88.14017861421026,78.9334011521833,9.206777462026974,11.85982138578974
11,11,294937,81536,241832,213401,28431,53105,100.0,27.645225929605306,81.99445983379502,72.35477407039468,9.63968576340032,18.005540166204987
12,12,266219,93058,215466,173161,42305,50753,100.0,34.955431430513975,80.93562067320515,65.04456856948603,15.891052103719119,19.064379326794857
