id,district_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
01,01,383360,207339,252509,176021,76488,130851,100.0,54.084672370617696,65.86733096828047,45.915327629382304,19.952003338898162,34.13266903171953
02,02,289787,131385,208424,158402,50022,81363,100.0,45.33847274032306,71.92317115674615,54.66152725967694,17.261643897069227,28.076828843253836
03,03,410716,96617,349565,314099,35466,61151,100.0,23.524040943133453,85.11112301444307,76.47595905686654,8.635163957576525,14.888876985556928
04,04,341392,146895,254511,194497,60014,86881,100.0,43.02824905094437,74.55095608567277,56.97175094905563,17.579205136617144,25.449043914327223
05,05,245527,94834,193532,150693,42839,51995,100.0,38.62467264292725,78.8231029581268,61.37532735707275,17.447775601054058,21.176897041873193
06,06,308840,90011,261099,218829,42270,47741,100.0,29.144864654837455,84.5418339593317,70.85513534516255,13.68669861416915,15.458166040668308
07,07,349539,134237,277463,215302,62161,72076,100.0,38.40401214170665,79.3796972583889,61.595987858293356,17.783709400095553,20.620302741611095
08,08,327945,155948,242341,171997,70344,85604,100.0,47.55309579350196,73.89684245833905,52.44690420649805,21.44993825184101,26.10315754166095
09,09,276165,49100,245939,227065,18874,30226,100.0,17.779226187243133,89.05509387503847,82.22077381275686,6.834320062281607,10.944906124961527
10,10,273731,59835,239282,213896,25386,34449,100.0,21.859051404481043,87.4150169326821,78.14094859551895,9.274068337163127,12.584983067317914
11,11,296837,84234,241626,212603,29023,55211,100.0,28.377190175079253,81.40022975572452,71.62280982492075,9.777419930803774,18.599770244275476
12,12,266123,94177,214595,171946,42649,51528,100.0,35.38852335198386,80.63752475359138,64.61147664801614,16.026048105575242,19.362475246408618
