id,district_id,forecast_area_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
0101,01,01,117395,55646,80102,61749,18353,37293,100.0,47.400655905277056,68.23288896460667,52.599344094722944,15.633544869883725,31.76711103539333
0102,01,02,86828,44911,58776,41917,16859,28052,100.0,51.72409821716497,67.69244944027272,48.27590178283503,19.416547657437693,32.307550559727275
0103,01,03,77339,49147,48764,28192,20572,28575,100.0,63.54749867466608,63.05227634181978,36.45250132533392,26.59977501648586,36.94772365818022
0104,01,04,101798,57635,64867,44163,20704,36931,100.0,56.617025874771606,63.72129118450264,43.382974125228394,20.33831705927425,36.27870881549736
0201,02,01,40490,27899,26190,12591,13599,14300,100.0,68.90343294640651,64.6826376883181,31.096567053593482,33.58607063472462,35.3173623116819
0202,02,02,65074,28563,47760,36511,11249,17314,100.0,43.89310630973968,73.39336755078834,56.10689369026032,17.286473860528016,26.606632449211666
0203,02,03,47571,25683,31642,21888,9754,15929,100.0,53.988774673645715,66.51531395177734,46.01122532635429,20.50408862542305,33.484686048222656
0204,02,04,50328,18370,38219,31958,6261,12109,100.0,36.50055635034175,75.93983468446987,63.49944364965824,12.440391034811636,24.06016531553012
0205,02,05,86324,30870,64613,55454,9159,21711,100.0,35.760622770029194,74.8494045688337,64.23937722997081,10.610027338862889,25.150595431166305
0301,03,01,16692,3307,14347,13385,962,2345,100.0,19.81188593338126,85.95135394200814,80.18811406661874,5.763239875389408,14.048646057991853
0302,03,02,47041,7384,43157,39657,3500,3884,100.0,15.696945218001318,91.74337280244893,84.30305478199868,7.4403180204502455,8.256627197551072
0303,03,03,35506,5279,32479,30227,2252,3027,100.0,14.867909649073397,91.4746803357179,85.1320903509266,6.342589984791303,8.525319664282092
0304,03,04,91667,17254,81866,74413,7453,9801,100.0,18.822477009174513,89.30803887985861,81.1775229908255,8.13051588903313,10.691961120141382
0305,03,05,54755,10948,47601,43807,3794,7154,100.0,19.99452104830609,86.93452652725779,80.0054789516939,6.929047575563875,13.065473472742214
0306,03,06,104174,31791,82843,72383,10460,21331,100.0,30.517211588304182,79.52368153282009,69.48278841169582,10.040893121124272,20.47631846717991
0307,03,07,60881,20654,47272,40227,7045,13609,100.0,33.92519833774084,77.64655639690544,66.07480166225916,11.571754734646277,22.35344360309456
0401,04,01,19403,10126,13781,9277,4504,5622,100.0,52.18780600937999,71.02509921146215,47.81219399062,23.212905220842135,28.974900788537855
0402,04,02,41328,14338,32572,26990,5582,8756,100.0,34.69318621757646,78.8133952768099,65.30681378242353,13.50658149438637,21.18660472319009
0403,04,03,144980,68154,103632,76826,26806,41348,100.0,47.009242654159195,71.48020416609188,52.99075734584081,18.489446820251068,28.519795833908123
0404,04,04,53803,18770,43545,35033,8512,10258,100.0,34.88653049086482,80.9341486534208,65.11346950913519,15.820679144285634,19.065851346579187
0405,04,05,81816,35489,60934,46327,14607,20882,100.0,43.37660115380855,74.47687493888726,56.62339884619145,17.853476092695804,25.52312506111274
0406,04,06,62,18,47,44,3,15,100.0,29.03225806451613,75.80645161290323,70.96774193548387,4.838709677419355,24.193548387096776
0501,05,01,105906,43533,81284,62373,18911,24622,100.0,41.10531981190867,76.75108114743263,58.89468018809133,17.856400959341304,23.24891885256737
0502,05,02,90551,33645,71567,56906,14661,18984,100.0,37.15585692040949,79.03501893960309,62.84414307959051,16.19087586001259,20.9649810603969
0503,05,03,29233,14038,22146,15195,6951,7087,100.0,48.021072076078404,75.75685013512127,51.97892792392159,23.777922211199673,24.24314986487873
0504,05,04,19837,3618,18535,16219,2316,1302,100.0,18.238644956394616,93.43650753642184,81.76135504360539,11.675152492816455,6.563492463578162
0601,06,01,75578,24952,62472,50626,11846,13106,100.0,33.014898515441,82.65897483394639,66.985101484559,15.673873349387387,17.341025166053615
0602,06,02,79287,23638,66872,55649,11223,12415,100.0,29.813210236230404,84.34169535989507,70.1867897637696,14.15490559612547,15.658304640104937
0603,06,03,84188,23381,71661,60807,10854,12527,100.0,27.772366608067657,85.12020715541408,72.22763339193234,12.892573763481732,14.879792844585927
0604,06,04,69787,18040,60094,51747,8347,9693,100.0,25.850086692363906,86.11059366357631,74.1499133076361,11.960680355940218,13.88940633642369
0701,07,01,50143,25941,34726,24202,10524,15417,100.0,51.73404064375885,69.25393374947649,48.26595935624115,20.987974393235348,30.7460662505235
0702,07,02,51606,21482,39216,30124,9092,12390,100.0,41.626942603573234,75.99116381816067,58.37305739642677,17.618106421733906,24.00883618183932
0703,07,03,46139,15547,37916,30592,7324,8223,100.0,33.69600554845142,82.1777671817768,66.30399445154859,15.873772730228222,17.822232818223195
0704,07,04,64537,25807,50667,38730,11937,13870,100.0,39.987913909850164,78.50845251561121,60.01208609014984,18.496366425461364,21.4915474843888
0705,07,05,52740,19197,43063,33543,9520,9677,100.0,36.399317406143346,81.65149791429654,63.60068259385665,18.050815320439895,18.34850208570345
0706,07,06,32264,12507,26432,19757,6675,5832,100.0,38.76456731961319,81.92412596082322,61.235432680386815,20.6886932804364,18.075874039176792
0707,07,07,52110,13756,45443,38354,7089,6667,100.0,26.398004221838416,87.20591057378621,73.60199577816158,13.603914795624641,12.794089426213779
0801,08,01,164636,92601,107417,72035,35382,57219,100.0,56.24590004616245,65.24514686945747,43.75409995383755,21.49104691561991,34.75485313054253
0802,08,02,72170,27875,58407,44295,14112,13763,100.0,38.62408202854372,80.92974920327005,61.37591797145628,19.553831231813774,19.070250796729944
0803,08,03,37591,19335,29664,18256,11408,7927,100.0,51.435183953605915,78.91250565294884,48.564816046394085,30.347689606554763,21.087494347051155
0804,08,04,53548,16137,46853,37411,9442,6695,100.0,30.13557929334429,87.49719877493091,69.86442070665571,17.632778068275194,12.502801225069096
0901,09,01,63320,13485,55474,49835,5639,7846,100.0,21.29658875552748,87.60897030953885,78.70341124447252,8.90555906506633,12.39102969046115
0902,09,02,68205,16731,56175,51474,4701,12030,100.0,24.530459643721134,82.36199692104684,75.46954035627887,6.892456564767979,17.638003078953158
0903,09,03,53113,8564,48631,44549,4082,4482,100.0,16.124112740760268,91.56138798410936,83.87588725923973,7.685500724869618,8.438612015890648
0904,09,04,37635,4391,35172,33244,1928,2463,100.0,11.66733094194234,93.45555998405739,88.33266905805766,5.122890925999735,6.544440015942607
0905,09,05,53892,5929,50487,47963,2524,3405,100.0,11.001632895420471,93.68180806056557,88.99836710457953,4.683440955986047,6.318191939434424
1001,10,01,111508,28778,95988,82730,13258,15520,100.0,25.80801377479643,86.08171611005488,74.19198622520358,11.889729884851311,13.918283889945116
1002,10,02,84103,21609,69849,62494,7355,14254,100.0,25.69349488127653,83.05173418308502,74.30650511872346,8.745229064361556,16.948265816914972
1003,10,03,28955,5048,26206,23907,2299,2749,100.0,17.433949231566224,90.50595752029011,82.56605076843377,7.939906751856329,9.494042479709895
1004,10,04,49165,4400,47239,44765,2474,1926,100.0,8.949455913759788,96.08257907047697,91.05054408624021,5.032034984236754,3.917420929523035
1101,11,01,62331,17908,50790,44423,6367,11541,100.0,28.73048723749017,81.48433363815758,71.26951276250982,10.214820875647751,18.515666361842424
1102,11,02,50070,13502,40979,36568,4411,9091,100.0,26.966247253844617,81.84341921310165,73.03375274615537,8.809666466946275,18.156580786898342
1103,11,03,75110,25164,58232,49946,8286,16878,100.0,33.50286246837971,77.52895752895753,66.49713753162028,11.031819997337239,22.47104247104247
1104,11,04,76844,21855,62595,54989,7606,14249,100.0,28.440737077715895,81.45723804070585,71.5592629222841,9.897975118421739,18.542761959294154
1105,11,05,32482,5805,29030,26677,2353,3452,100.0,17.87143648790099,89.37257558032141,82.128563512099,7.2440120682224,10.627424419678592
1210,12,10,56260,26737,40584,29523,11061,15676,100.0,47.52399573409172,72.1365090650551,52.47600426590828,19.660504799146818,27.863490934944902
1221,12,21,54811,23212,41358,31599,9759,13453,100.0,42.34916348908066,75.45565671124409,57.65083651091935,17.80482020032475,24.544343288755908
1222,12,22,24110,3438,22751,20672,2079,1359,100.0,14.259643301534632,94.36333471588553,85.74035669846538,8.622978017420158,5.636665284114476
1223,12,23,33415,4862,31299,28553,2746,2116,100.0,14.55035163848571,93.66751458925631,85.44964836151429,8.217866227742032,6.332485410743678
1230,12,30,97527,35928,78603,61599,17004,18924,100.0,36.83902919191608,80.59614260666277,63.16097080808392,17.435171798578857,19.40385739333723
