id,district_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
01,01,384169,208522,251666,175647,76019,132503,100.0,54.2787158776476,65.5091899658744,45.7212841223524,19.78790584352199,34.49081003412561
02,02,288906,130870,207789,158036,49753,81117,100.0,45.2984707828844,71.92270150152645,54.7015292171156,17.221172284410848,28.077298498473553
03,03,410472,96583,348509,313889,34620,61963,100.0,23.529741370909587,84.90445146075737,76.47025862909041,8.434192831666959,15.095548539242628
04,04,339011,144426,253911,194585,59326,85100,100.0,42.60215745211807,74.89756969537862,57.39784254788193,17.49972714749669,25.102430304621382
05,05,245977,95573,193199,150404,42795,52778,100.0,38.85444574086195,78.54352236184684,61.145554259138045,17.397968102708788,21.45647763815316
06,06,306267,88105,259827,218162,41665,46440,100.0,28.767382708551686,84.83676008188932,71.2326172914483,13.60414279044102,15.16323991811067
07,07,348694,133437,276999,215257,61742,71695,100.0,38.267650145973256,79.43899235432787,61.73234985402674,17.706642500301122,20.561007645672134
08,08,327073,155713,241531,171360,70171,85542,100.0,47.60802634274306,73.84620558713193,52.39197365725694,21.454231929874982,26.153794412868077
09,09,277544,49463,246019,228081,17938,31525,100.0,17.821678724814806,88.64144063643963,82.1783212751852,6.463119361254431,11.358559363560373
10,10,274931,60293,238922,214638,24284,36009,100.0,21.930229766741473,86.90253190800601,78.06977023325852,8.832761674747482,13.097468091993992
11,11,297308,84558,240676,212750,27926,56632,100.0,28.441212479987083,80.95174028280437,71.55878752001291,9.392952762791449,19.048259717195634
12,12,265730,94614,213351,171116,42235,52379,100.0,35.605313664245664,80.28863884393934,64.39468633575433,15.893952508185,19.711361156060665
