id,district_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
01,01,397004,231961,249053,165043,84010,147951,100.0,58.42787478211806,62.73312107686573,41.57212521788193,21.16099585898379,37.26687892313428
02,02,292624,145174,202632,147450,55182,89992,100.0,49.61110503581388,69.2465416370496,50.38889496418613,18.85764667286347,30.753458362950408
03,03,427276,128358,343105,298918,44187,84171,100.0,30.04100394124641,80.300555144684,69.9589960587536,10.341559085930406,19.699444855316
04,04,343500,159964,249994,183536,66458,93506,100.0,46.56885007278021,72.77845705967977,53.4311499272198,19.34730713245997,27.22154294032023
05,05,259277,118420,189914,140857,49057,69363,100.0,45.673160365169295,73.24753063326095,54.326839634830705,18.92069099843025,26.752469366739046
06,06,310044,102718,254706,207326,47380,55338,100.0,33.13013636774135,82.15156558423966,66.86986363225866,15.281701951981008,17.848434415760345
07,07,356959,152431,273377,204528,68849,83582,100.0,42.70266333108284,76.58498595076746,57.297336668917154,19.287649281850296,23.415014049232543
08,08,329488,169398,235693,160090,75603,93795,100.0,51.412494536978585,71.53310590977516,48.587505463021415,22.94560044675375,28.46689409022483
09,09,297236,76574,246400,220662,25738,50836,100.0,25.76202075118761,82.89709187312438,74.2379792488124,8.659112624311994,17.10290812687561
10,10,294091,87584,236448,206507,29941,57643,100.0,29.781258181991287,80.3996042041409,70.21874181800871,10.180862386132183,19.600395795859104
11,11,315548,115611,235846,199937,35909,79702,100.0,36.63816598425596,74.74171916792373,63.36183401574404,11.3798851521797,25.258280832076263
12,12,274098,113672,208099,160426,47673,65999,100.0,41.4712985866369,75.92138578172771,58.5287014133631,17.3926843683646,24.078614218272296
